"","POVST","Q16G"
"1","(4) 76 percent or more","(3) Moderately adequate"
"2","(1) 25 percent or less","(3) Moderately adequate"
"3","(2) 26 to 50 percent","(4) Completely adequate"
"4","(3) 51 to 75 percent","(4) Completely adequate"
"5","(4) 76 percent or more","(1) Not at all adequate"
"6","(3) 51 to 75 percent","(3) Moderately adequate"
"7","(4) 76 percent or more","(4) Completely adequate"
"8","(4) 76 percent or more","(2) Minimally adequate"
"9","(2) 26 to 50 percent","(3) Moderately adequate"
"10","(2) 26 to 50 percent","(4) Completely adequate"
"11","(3) 51 to 75 percent","(3) Moderately adequate"
"12","(4) 76 percent or more","(2) Minimally adequate"
"13","(1) 25 percent or less","(3) Moderately adequate"
"14","(3) 51 to 75 percent","(1) Not at all adequate"
"15","(3) 51 to 75 percent","(4) Completely adequate"
"16","(3) 51 to 75 percent","(4) Completely adequate"
"17","(1) 25 percent or less","(2) Minimally adequate"
"18","(1) 25 percent or less","(3) Moderately adequate"
"19","(3) 51 to 75 percent","(3) Moderately adequate"
"20","(3) 51 to 75 percent","(3) Moderately adequate"
"21","(4) 76 percent or more","(3) Moderately adequate"
"22","(3) 51 to 75 percent","(3) Moderately adequate"
"23","(4) 76 percent or more","(3) Moderately adequate"
"24","(3) 51 to 75 percent","(4) Completely adequate"
"25","(2) 26 to 50 percent","(2) Minimally adequate"
"26","(3) 51 to 75 percent","(4) Completely adequate"
"27","(2) 26 to 50 percent","(4) Completely adequate"
"28","(2) 26 to 50 percent","(3) Moderately adequate"
"29","(1) 25 percent or less","(3) Moderately adequate"
"30","(4) 76 percent or more","(1) Not at all adequate"
"31","(2) 26 to 50 percent","(3) Moderately adequate"
"32","(3) 51 to 75 percent","(4) Completely adequate"
"33","(2) 26 to 50 percent","(4) Completely adequate"
"34","(1) 25 percent or less","(3) Moderately adequate"
"35","(1) 25 percent or less","(4) Completely adequate"
"36","(1) 25 percent or less","(4) Completely adequate"
"37","(4) 76 percent or more","(3) Moderately adequate"
"38","(1) 25 percent or less","(4) Completely adequate"
"39","(3) 51 to 75 percent","(2) Minimally adequate"
"40","(1) 25 percent or less","(3) Moderately adequate"
"41","(1) 25 percent or less","(4) Completely adequate"
"42","(4) 76 percent or more","(1) Not at all adequate"
"43","(2) 26 to 50 percent","(4) Completely adequate"
"44","(2) 26 to 50 percent","(3) Moderately adequate"
"45","(2) 26 to 50 percent","(4) Completely adequate"
"46","(3) 51 to 75 percent","(3) Moderately adequate"
"47","(4) 76 percent or more","(3) Moderately adequate"
"48","(4) 76 percent or more","(2) Minimally adequate"
"49","(3) 51 to 75 percent","(3) Moderately adequate"
"50","(3) 51 to 75 percent","(2) Minimally adequate"
"51","(1) 25 percent or less","(4) Completely adequate"
"52","(4) 76 percent or more","(2) Minimally adequate"
"53","(2) 26 to 50 percent","(4) Completely adequate"
"54","(2) 26 to 50 percent","(3) Moderately adequate"
"55","(1) 25 percent or less","(3) Moderately adequate"
"56","(1) 25 percent or less","(4) Completely adequate"
"57","(4) 76 percent or more","(3) Moderately adequate"
"58","(2) 26 to 50 percent","(3) Moderately adequate"
"59","(2) 26 to 50 percent","(4) Completely adequate"
"60","(4) 76 percent or more","(2) Minimally adequate"
"61","(2) 26 to 50 percent","(2) Minimally adequate"
"62","(3) 51 to 75 percent","(3) Moderately adequate"
"63","(3) 51 to 75 percent","(3) Moderately adequate"
"64","(4) 76 percent or more","(3) Moderately adequate"
"65","(2) 26 to 50 percent","(2) Minimally adequate"
"66","(2) 26 to 50 percent","(3) Moderately adequate"
"67","(1) 25 percent or less","(4) Completely adequate"
"68","(1) 25 percent or less","(1) Not at all adequate"
"69","(1) 25 percent or less","(4) Completely adequate"
"70","(3) 51 to 75 percent","(3) Moderately adequate"
"71","(3) 51 to 75 percent","(2) Minimally adequate"
"72","(2) 26 to 50 percent","(3) Moderately adequate"
"73","(4) 76 percent or more","(4) Completely adequate"
"74","(1) 25 percent or less","(3) Moderately adequate"
"75","(3) 51 to 75 percent","(4) Completely adequate"
"76","(2) 26 to 50 percent","(3) Moderately adequate"
"77","(1) 25 percent or less","(4) Completely adequate"
"78","(2) 26 to 50 percent","(1) Not at all adequate"
"79","(3) 51 to 75 percent","(4) Completely adequate"
"80","(1) 25 percent or less","(4) Completely adequate"
"81","(4) 76 percent or more","(4) Completely adequate"
"82","(2) 26 to 50 percent","(4) Completely adequate"
"83","(2) 26 to 50 percent","(3) Moderately adequate"
"84","(4) 76 percent or more","(1) Not at all adequate"
"85","(1) 25 percent or less","(3) Moderately adequate"
"86","(2) 26 to 50 percent","(3) Moderately adequate"
"87","(2) 26 to 50 percent","(4) Completely adequate"
"88","(3) 51 to 75 percent","(4) Completely adequate"
"89","(1) 25 percent or less","(3) Moderately adequate"
"90","(4) 76 percent or more","(3) Moderately adequate"
"91","(4) 76 percent or more","(3) Moderately adequate"
"92","(1) 25 percent or less","(2) Minimally adequate"
"93","(4) 76 percent or more","(3) Moderately adequate"
"94","(4) 76 percent or more","(3) Moderately adequate"
"95","(3) 51 to 75 percent","(3) Moderately adequate"
"96","(1) 25 percent or less","(3) Moderately adequate"
"97","(3) 51 to 75 percent","(4) Completely adequate"
"98","(2) 26 to 50 percent","(3) Moderately adequate"
"99","(2) 26 to 50 percent","(4) Completely adequate"
"100","(1) 25 percent or less","(4) Completely adequate"
"101","(2) 26 to 50 percent","(1) Not at all adequate"
"102","(3) 51 to 75 percent","(3) Moderately adequate"
"103","(3) 51 to 75 percent","(2) Minimally adequate"
"104","(3) 51 to 75 percent","(4) Completely adequate"
"105","(1) 25 percent or less","(4) Completely adequate"
"106","(1) 25 percent or less","(4) Completely adequate"
"107","(4) 76 percent or more","(4) Completely adequate"
"108","(1) 25 percent or less","(4) Completely adequate"
"109","(4) 76 percent or more","(3) Moderately adequate"
"110","(3) 51 to 75 percent","(2) Minimally adequate"
"111",NA,"(4) Completely adequate"
"112","(3) 51 to 75 percent","(3) Moderately adequate"
"113","(1) 25 percent or less","(4) Completely adequate"
"114","(2) 26 to 50 percent","(4) Completely adequate"
"115","(3) 51 to 75 percent","(4) Completely adequate"
"116","(2) 26 to 50 percent","(1) Not at all adequate"
"117","(3) 51 to 75 percent","(4) Completely adequate"
"118","(2) 26 to 50 percent","(4) Completely adequate"
"119","(2) 26 to 50 percent","(3) Moderately adequate"
"120","(4) 76 percent or more","(4) Completely adequate"
"121","(4) 76 percent or more","(3) Moderately adequate"
"122","(3) 51 to 75 percent","(4) Completely adequate"
"123","(2) 26 to 50 percent","(3) Moderately adequate"
"124","(1) 25 percent or less","(4) Completely adequate"
"125","(4) 76 percent or more","(3) Moderately adequate"
"126","(3) 51 to 75 percent","(1) Not at all adequate"
"127","(3) 51 to 75 percent","(2) Minimally adequate"
"128","(1) 25 percent or less","(4) Completely adequate"
"129",NA,"(4) Completely adequate"
"130","(1) 25 percent or less","(4) Completely adequate"
"131","(1) 25 percent or less","(3) Moderately adequate"
"132","(3) 51 to 75 percent","(3) Moderately adequate"
"133","(2) 26 to 50 percent","(3) Moderately adequate"
"134","(1) 25 percent or less","(2) Minimally adequate"
"135",NA,"(4) Completely adequate"
"136","(3) 51 to 75 percent","(2) Minimally adequate"
"137","(2) 26 to 50 percent","(4) Completely adequate"
"138","(1) 25 percent or less","(4) Completely adequate"
"139","(3) 51 to 75 percent","(1) Not at all adequate"
"140","(2) 26 to 50 percent","(3) Moderately adequate"
"141","(4) 76 percent or more","(4) Completely adequate"
"142","(2) 26 to 50 percent","(4) Completely adequate"
"143","(1) 25 percent or less","(4) Completely adequate"
"144","(2) 26 to 50 percent","(4) Completely adequate"
"145","(4) 76 percent or more","(2) Minimally adequate"
"146","(2) 26 to 50 percent","(3) Moderately adequate"
"147","(1) 25 percent or less","(4) Completely adequate"
"148","(1) 25 percent or less","(4) Completely adequate"
"149","(4) 76 percent or more","(4) Completely adequate"
"150","(1) 25 percent or less","(3) Moderately adequate"
"151","(3) 51 to 75 percent","(3) Moderately adequate"
"152","(3) 51 to 75 percent","(2) Minimally adequate"
"153","(3) 51 to 75 percent","(3) Moderately adequate"
"154","(3) 51 to 75 percent","(4) Completely adequate"
"155","(1) 25 percent or less","(4) Completely adequate"
"156","(3) 51 to 75 percent","(3) Moderately adequate"
"157","(2) 26 to 50 percent","(4) Completely adequate"
"158","(2) 26 to 50 percent","(4) Completely adequate"
"159","(1) 25 percent or less","(4) Completely adequate"
"160","(1) 25 percent or less","(4) Completely adequate"
"161","(2) 26 to 50 percent","(3) Moderately adequate"
"162","(3) 51 to 75 percent","(2) Minimally adequate"
"163","(4) 76 percent or more","(2) Minimally adequate"
"164","(1) 25 percent or less","(3) Moderately adequate"
"165","(3) 51 to 75 percent","(3) Moderately adequate"
"166","(2) 26 to 50 percent","(4) Completely adequate"
"167","(4) 76 percent or more","(3) Moderately adequate"
"168","(4) 76 percent or more","(2) Minimally adequate"
"169","(1) 25 percent or less","(3) Moderately adequate"
"170","(3) 51 to 75 percent","(4) Completely adequate"
"171","(1) 25 percent or less","(4) Completely adequate"
"172","(2) 26 to 50 percent","(2) Minimally adequate"
"173","(2) 26 to 50 percent","(3) Moderately adequate"
"174","(1) 25 percent or less","(4) Completely adequate"
"175","(1) 25 percent or less","(4) Completely adequate"
"176","(2) 26 to 50 percent","(4) Completely adequate"
"177","(2) 26 to 50 percent","(4) Completely adequate"
"178","(2) 26 to 50 percent","(4) Completely adequate"
"179","(1) 25 percent or less","(4) Completely adequate"
"180","(3) 51 to 75 percent","(2) Minimally adequate"
"181","(1) 25 percent or less","(2) Minimally adequate"
"182","(3) 51 to 75 percent","(2) Minimally adequate"
"183","(3) 51 to 75 percent","(4) Completely adequate"
"184","(3) 51 to 75 percent","(2) Minimally adequate"
"185","(2) 26 to 50 percent","(3) Moderately adequate"
"186","(2) 26 to 50 percent","(2) Minimally adequate"
"187","(3) 51 to 75 percent","(3) Moderately adequate"
"188","(1) 25 percent or less","(4) Completely adequate"
"189","(2) 26 to 50 percent","(3) Moderately adequate"
"190","(3) 51 to 75 percent","(3) Moderately adequate"
"191","(3) 51 to 75 percent","(3) Moderately adequate"
"192","(1) 25 percent or less","(2) Minimally adequate"
"193","(2) 26 to 50 percent","(4) Completely adequate"
"194","(4) 76 percent or more","(2) Minimally adequate"
"195","(1) 25 percent or less","(4) Completely adequate"
"196","(3) 51 to 75 percent","(3) Moderately adequate"
"197","(2) 26 to 50 percent","(4) Completely adequate"
"198","(3) 51 to 75 percent","(4) Completely adequate"
"199","(2) 26 to 50 percent","(4) Completely adequate"
"200","(1) 25 percent or less","(3) Moderately adequate"
"201","(1) 25 percent or less","(1) Not at all adequate"
"202","(1) 25 percent or less","(4) Completely adequate"
"203","(3) 51 to 75 percent","(3) Moderately adequate"
"204","(3) 51 to 75 percent","(4) Completely adequate"
"205","(4) 76 percent or more","(2) Minimally adequate"
"206","(3) 51 to 75 percent","(4) Completely adequate"
"207","(1) 25 percent or less","(4) Completely adequate"
"208","(4) 76 percent or more","(2) Minimally adequate"
"209","(2) 26 to 50 percent","(4) Completely adequate"
"210","(1) 25 percent or less","(4) Completely adequate"
"211","(2) 26 to 50 percent","(4) Completely adequate"
"212","(2) 26 to 50 percent","(4) Completely adequate"
"213","(4) 76 percent or more","(2) Minimally adequate"
"214","(3) 51 to 75 percent","(3) Moderately adequate"
"215","(4) 76 percent or more","(4) Completely adequate"
"216","(4) 76 percent or more","(1) Not at all adequate"
"217","(4) 76 percent or more","(1) Not at all adequate"
"218","(1) 25 percent or less","(4) Completely adequate"
"219","(2) 26 to 50 percent","(4) Completely adequate"
"220","(1) 25 percent or less","(3) Moderately adequate"
"221","(2) 26 to 50 percent","(4) Completely adequate"
"222","(1) 25 percent or less","(2) Minimally adequate"
"223","(1) 25 percent or less","(4) Completely adequate"
"224","(1) 25 percent or less","(4) Completely adequate"
"225","(2) 26 to 50 percent","(1) Not at all adequate"
"226","(1) 25 percent or less","(3) Moderately adequate"
"227","(3) 51 to 75 percent","(3) Moderately adequate"
"228","(3) 51 to 75 percent","(3) Moderately adequate"
"229","(1) 25 percent or less","(3) Moderately adequate"
"230","(3) 51 to 75 percent","(3) Moderately adequate"
"231","(2) 26 to 50 percent","(4) Completely adequate"
"232","(2) 26 to 50 percent","(4) Completely adequate"
"233","(2) 26 to 50 percent","(2) Minimally adequate"
"234","(4) 76 percent or more","(2) Minimally adequate"
"235","(1) 25 percent or less","(3) Moderately adequate"
"236","(1) 25 percent or less","(3) Moderately adequate"
"237","(1) 25 percent or less","(3) Moderately adequate"
"238","(3) 51 to 75 percent","(4) Completely adequate"
"239","(2) 26 to 50 percent","(3) Moderately adequate"
"240","(1) 25 percent or less","(4) Completely adequate"
"241","(1) 25 percent or less","(2) Minimally adequate"
"242","(4) 76 percent or more","(3) Moderately adequate"
"243","(1) 25 percent or less","(4) Completely adequate"
"244","(4) 76 percent or more","(4) Completely adequate"
"245","(1) 25 percent or less","(3) Moderately adequate"
"246","(1) 25 percent or less","(3) Moderately adequate"
"247","(2) 26 to 50 percent","(3) Moderately adequate"
"248","(2) 26 to 50 percent","(3) Moderately adequate"
"249","(2) 26 to 50 percent","(4) Completely adequate"
"250","(4) 76 percent or more","(3) Moderately adequate"
"251","(3) 51 to 75 percent","(2) Minimally adequate"
"252","(4) 76 percent or more","(2) Minimally adequate"
"253","(4) 76 percent or more","(3) Moderately adequate"
"254","(4) 76 percent or more","(3) Moderately adequate"
"255","(4) 76 percent or more","(2) Minimally adequate"
"256","(2) 26 to 50 percent","(3) Moderately adequate"
"257","(1) 25 percent or less","(4) Completely adequate"
"258","(2) 26 to 50 percent","(4) Completely adequate"
"259","(1) 25 percent or less","(2) Minimally adequate"
"260","(4) 76 percent or more","(4) Completely adequate"
"261","(2) 26 to 50 percent","(4) Completely adequate"
"262","(2) 26 to 50 percent","(4) Completely adequate"
"263","(1) 25 percent or less","(3) Moderately adequate"
"264","(2) 26 to 50 percent","(4) Completely adequate"
"265","(2) 26 to 50 percent","(3) Moderately adequate"
"266","(2) 26 to 50 percent","(3) Moderately adequate"
"267","(2) 26 to 50 percent","(3) Moderately adequate"
"268","(1) 25 percent or less","(3) Moderately adequate"
"269","(1) 25 percent or less","(3) Moderately adequate"
"270","(4) 76 percent or more","(2) Minimally adequate"
"271","(2) 26 to 50 percent","(3) Moderately adequate"
"272","(1) 25 percent or less","(4) Completely adequate"
"273","(4) 76 percent or more","(3) Moderately adequate"
"274","(1) 25 percent or less","(4) Completely adequate"
"275","(4) 76 percent or more","(4) Completely adequate"
"276","(1) 25 percent or less","(3) Moderately adequate"
"277","(2) 26 to 50 percent","(2) Minimally adequate"
"278","(1) 25 percent or less","(4) Completely adequate"
"279","(1) 25 percent or less","(3) Moderately adequate"
"280","(4) 76 percent or more","(4) Completely adequate"
"281","(3) 51 to 75 percent","(4) Completely adequate"
"282","(3) 51 to 75 percent","(4) Completely adequate"
"283","(2) 26 to 50 percent","(2) Minimally adequate"
"284","(1) 25 percent or less","(2) Minimally adequate"
"285","(1) 25 percent or less","(2) Minimally adequate"
"286","(2) 26 to 50 percent","(3) Moderately adequate"
"287","(2) 26 to 50 percent","(4) Completely adequate"
"288","(4) 76 percent or more","(3) Moderately adequate"
"289","(2) 26 to 50 percent","(3) Moderately adequate"
"290","(3) 51 to 75 percent","(3) Moderately adequate"
"291","(4) 76 percent or more","(2) Minimally adequate"
"292","(2) 26 to 50 percent","(3) Moderately adequate"
"293","(1) 25 percent or less","(3) Moderately adequate"
"294","(3) 51 to 75 percent","(4) Completely adequate"
"295","(2) 26 to 50 percent","(2) Minimally adequate"
"296","(1) 25 percent or less","(2) Minimally adequate"
"297","(1) 25 percent or less","(4) Completely adequate"
"298","(1) 25 percent or less","(4) Completely adequate"
"299","(3) 51 to 75 percent","(1) Not at all adequate"
"300","(2) 26 to 50 percent","(3) Moderately adequate"
"301","(3) 51 to 75 percent","(3) Moderately adequate"
"302","(2) 26 to 50 percent","(3) Moderately adequate"
"303","(1) 25 percent or less","(4) Completely adequate"
"304","(4) 76 percent or more","(3) Moderately adequate"
"305","(3) 51 to 75 percent","(4) Completely adequate"
"306","(2) 26 to 50 percent","(4) Completely adequate"
"307","(3) 51 to 75 percent","(4) Completely adequate"
"308","(4) 76 percent or more","(2) Minimally adequate"
"309","(3) 51 to 75 percent","(2) Minimally adequate"
"310","(1) 25 percent or less","(4) Completely adequate"
"311","(1) 25 percent or less","(4) Completely adequate"
"312","(1) 25 percent or less","(4) Completely adequate"
"313","(2) 26 to 50 percent","(3) Moderately adequate"
"314","(2) 26 to 50 percent","(3) Moderately adequate"
"315","(2) 26 to 50 percent","(3) Moderately adequate"
"316","(1) 25 percent or less","(4) Completely adequate"
"317","(2) 26 to 50 percent","(4) Completely adequate"
"318","(2) 26 to 50 percent","(3) Moderately adequate"
"319","(1) 25 percent or less","(4) Completely adequate"
"320","(3) 51 to 75 percent","(3) Moderately adequate"
"321","(1) 25 percent or less","(3) Moderately adequate"
"322","(3) 51 to 75 percent","(3) Moderately adequate"
"323","(4) 76 percent or more","(3) Moderately adequate"
"324","(1) 25 percent or less","(3) Moderately adequate"
"325","(1) 25 percent or less","(4) Completely adequate"
"326","(4) 76 percent or more","(2) Minimally adequate"
"327","(1) 25 percent or less","(3) Moderately adequate"
"328","(2) 26 to 50 percent","(3) Moderately adequate"
"329","(2) 26 to 50 percent","(4) Completely adequate"
"330","(2) 26 to 50 percent","(2) Minimally adequate"
"331","(4) 76 percent or more","(2) Minimally adequate"
"332","(4) 76 percent or more","(3) Moderately adequate"
"333","(2) 26 to 50 percent","(2) Minimally adequate"
"334","(4) 76 percent or more","(3) Moderately adequate"
"335","(4) 76 percent or more","(3) Moderately adequate"
"336","(1) 25 percent or less","(4) Completely adequate"
"337","(2) 26 to 50 percent","(2) Minimally adequate"
"338","(2) 26 to 50 percent","(3) Moderately adequate"
"339","(3) 51 to 75 percent","(3) Moderately adequate"
"340","(1) 25 percent or less","(4) Completely adequate"
"341","(3) 51 to 75 percent","(2) Minimally adequate"
"342","(4) 76 percent or more","(2) Minimally adequate"
"343","(2) 26 to 50 percent","(4) Completely adequate"
"344","(3) 51 to 75 percent","(1) Not at all adequate"
"345","(2) 26 to 50 percent","(3) Moderately adequate"
"346","(4) 76 percent or more","(2) Minimally adequate"
"347","(2) 26 to 50 percent","(4) Completely adequate"
"348","(2) 26 to 50 percent","(3) Moderately adequate"
"349","(2) 26 to 50 percent","(4) Completely adequate"
"350","(1) 25 percent or less","(3) Moderately adequate"
"351","(4) 76 percent or more","(4) Completely adequate"
"352","(4) 76 percent or more","(3) Moderately adequate"
"353","(2) 26 to 50 percent","(2) Minimally adequate"
"354","(1) 25 percent or less","(3) Moderately adequate"
"355","(2) 26 to 50 percent","(4) Completely adequate"
"356","(2) 26 to 50 percent","(3) Moderately adequate"
"357","(1) 25 percent or less","(4) Completely adequate"
"358","(1) 25 percent or less","(4) Completely adequate"
"359","(4) 76 percent or more","(1) Not at all adequate"
"360","(3) 51 to 75 percent","(4) Completely adequate"
"361","(2) 26 to 50 percent","(3) Moderately adequate"
"362","(1) 25 percent or less","(4) Completely adequate"
"363","(2) 26 to 50 percent","(2) Minimally adequate"
"364","(1) 25 percent or less","(3) Moderately adequate"
"365","(3) 51 to 75 percent","(2) Minimally adequate"
"366","(3) 51 to 75 percent","(2) Minimally adequate"
"367","(2) 26 to 50 percent","(4) Completely adequate"
"368","(1) 25 percent or less","(4) Completely adequate"
"369","(3) 51 to 75 percent","(3) Moderately adequate"
"370","(1) 25 percent or less","(4) Completely adequate"
"371","(3) 51 to 75 percent","(2) Minimally adequate"
"372","(3) 51 to 75 percent","(4) Completely adequate"
"373","(2) 26 to 50 percent","(3) Moderately adequate"
"374","(1) 25 percent or less","(4) Completely adequate"
"375","(1) 25 percent or less","(3) Moderately adequate"
"376","(3) 51 to 75 percent","(3) Moderately adequate"
"377","(4) 76 percent or more","(3) Moderately adequate"
"378","(4) 76 percent or more","(3) Moderately adequate"
"379","(1) 25 percent or less","(4) Completely adequate"
"380","(4) 76 percent or more","(3) Moderately adequate"
"381","(3) 51 to 75 percent","(2) Minimally adequate"
"382","(4) 76 percent or more","(4) Completely adequate"
"383","(4) 76 percent or more","(3) Moderately adequate"
"384","(3) 51 to 75 percent","(3) Moderately adequate"
"385","(4) 76 percent or more","(2) Minimally adequate"
"386","(1) 25 percent or less","(4) Completely adequate"
"387","(4) 76 percent or more","(4) Completely adequate"
"388","(2) 26 to 50 percent","(3) Moderately adequate"
"389","(4) 76 percent or more","(3) Moderately adequate"
"390",NA,"(3) Moderately adequate"
"391","(4) 76 percent or more","(3) Moderately adequate"
"392","(2) 26 to 50 percent","(3) Moderately adequate"
"393","(1) 25 percent or less","(4) Completely adequate"
"394","(2) 26 to 50 percent","(4) Completely adequate"
"395","(1) 25 percent or less","(4) Completely adequate"
"396","(3) 51 to 75 percent","(3) Moderately adequate"
"397","(2) 26 to 50 percent","(4) Completely adequate"
"398","(4) 76 percent or more","(3) Moderately adequate"
"399","(1) 25 percent or less","(4) Completely adequate"
"400","(1) 25 percent or less","(3) Moderately adequate"
"401","(2) 26 to 50 percent","(4) Completely adequate"
"402","(1) 25 percent or less","(2) Minimally adequate"
"403","(3) 51 to 75 percent","(1) Not at all adequate"
"404","(3) 51 to 75 percent","(3) Moderately adequate"
"405","(4) 76 percent or more","(3) Moderately adequate"
"406","(4) 76 percent or more","(3) Moderately adequate"
"407","(1) 25 percent or less","(2) Minimally adequate"
"408","(1) 25 percent or less","(4) Completely adequate"
"409","(3) 51 to 75 percent","(4) Completely adequate"
"410","(1) 25 percent or less","(3) Moderately adequate"
"411","(4) 76 percent or more","(4) Completely adequate"
"412","(1) 25 percent or less","(3) Moderately adequate"
"413","(3) 51 to 75 percent","(4) Completely adequate"
"414","(1) 25 percent or less","(2) Minimally adequate"
"415","(3) 51 to 75 percent","(2) Minimally adequate"
"416","(1) 25 percent or less","(3) Moderately adequate"
"417","(1) 25 percent or less","(3) Moderately adequate"
"418","(1) 25 percent or less","(2) Minimally adequate"
"419","(3) 51 to 75 percent","(3) Moderately adequate"
"420","(4) 76 percent or more","(3) Moderately adequate"
"421","(2) 26 to 50 percent","(3) Moderately adequate"
"422","(2) 26 to 50 percent","(4) Completely adequate"
"423","(3) 51 to 75 percent","(2) Minimally adequate"
"424","(1) 25 percent or less","(3) Moderately adequate"
"425","(3) 51 to 75 percent","(4) Completely adequate"
"426","(4) 76 percent or more","(4) Completely adequate"
"427","(3) 51 to 75 percent","(4) Completely adequate"
"428","(3) 51 to 75 percent","(3) Moderately adequate"
"429","(2) 26 to 50 percent","(2) Minimally adequate"
"430","(1) 25 percent or less","(4) Completely adequate"
"431","(3) 51 to 75 percent","(3) Moderately adequate"
"432","(4) 76 percent or more","(3) Moderately adequate"
"433","(2) 26 to 50 percent","(4) Completely adequate"
"434","(4) 76 percent or more","(4) Completely adequate"
"435","(1) 25 percent or less","(1) Not at all adequate"
"436","(1) 25 percent or less","(4) Completely adequate"
"437","(3) 51 to 75 percent","(4) Completely adequate"
"438","(4) 76 percent or more","(1) Not at all adequate"
"439","(3) 51 to 75 percent","(3) Moderately adequate"
"440","(1) 25 percent or less","(4) Completely adequate"
"441","(4) 76 percent or more","(3) Moderately adequate"
"442","(1) 25 percent or less","(3) Moderately adequate"
"443","(3) 51 to 75 percent","(2) Minimally adequate"
"444","(3) 51 to 75 percent","(3) Moderately adequate"
"445","(2) 26 to 50 percent","(4) Completely adequate"
"446","(1) 25 percent or less","(4) Completely adequate"
"447","(3) 51 to 75 percent","(4) Completely adequate"
"448","(1) 25 percent or less","(3) Moderately adequate"
"449","(1) 25 percent or less","(3) Moderately adequate"
"450","(2) 26 to 50 percent","(2) Minimally adequate"
"451","(3) 51 to 75 percent","(3) Moderately adequate"
"452","(2) 26 to 50 percent","(4) Completely adequate"
"453","(2) 26 to 50 percent","(4) Completely adequate"
"454","(2) 26 to 50 percent","(4) Completely adequate"
"455","(3) 51 to 75 percent","(1) Not at all adequate"
"456","(4) 76 percent or more","(3) Moderately adequate"
"457","(3) 51 to 75 percent","(1) Not at all adequate"
"458","(4) 76 percent or more","(3) Moderately adequate"
"459","(2) 26 to 50 percent","(4) Completely adequate"
"460","(1) 25 percent or less","(2) Minimally adequate"
